Year,Quarter,Employment-to-population Ratio [%],Female,Q1,Q2,Q3,Q4,Before_Lockdown,During_Lockdown,Not_Covid,After_Lockdown,After_End_Measures,Two_Year_Before,One_Year_Before,One_Year_After,Two_Year_After
2010,1,3.1031410829346373,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2010,2,3.0849149740336363,1,0,1,0,0,1,0,1,0,0,0,0,0,0
2010,3,3.088478411991845,1,0,0,1,0,1,0,1,0,0,0,0,0,0
2010,4,2.990921995758925,1,0,0,0,1,1,0,1,0,0,0,0,0,0
2010,1,2.482187432841249,0,1,0,0,0,1,0,1,0,0,0,0,0,0
2010,2,2.450226755495308,0,0,1,0,0,1,0,1,0,0,0,0,0,0
2010,3,2.427572635537457,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2010,4,2.399163144563287,0,0,0,0,1,1,0,1,0,0,0,0,0,0
2011,1,2.945205063194429,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2011,2,3.0190594733474425,1,0,1,0,0,1,0,1,0,0,0,0,0,0
2011,3,2.9084514970132664,1,0,0,1,0,1,0,1,0,0,0,0,0,0
2011,4,2.806612284893966,1,0,0,0,1,1,0,1,0,0,0,0,0,0
2011,1,2.361633179763592,0,1,0,0,0,1,0,1,0,0,0,0,0,0
2011,2,2.3373773767968324,0,0,1,0,0,1,0,1,0,0,0,0,0,0
2011,3,2.239629209423938,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2011,4,2.240807262120954,0,0,0,0,1,1,0,1,0,0,0,0,0,0
2012,1,2.774238473815227,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2012,2,2.8754546136521246,1,0,1,0,0,1,0,1,0,0,0,0,0,0
2012,3,2.839234410853348,1,0,0,1,0,1,0,1,0,0,0,0,0,0
2012,4,2.771461114391131,1,0,0,0,1,1,0,1,0,0,0,0,0,0
2012,1,2.237054917231295,0,1,0,0,0,1,0,1,0,0,0,0,0,0
2012,2,2.2093132169216023,0,0,1,0,0,1,0,1,0,0,0,0,0,0
2012,3,2.212296195449526,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2012,4,2.1932349626560916,0,0,0,0,1,1,0,1,0,0,0,0,0,0
2013,1,2.6954532440178367,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2013,2,2.6877709017822466,1,0,1,0,0,1,0,1,0,0,0,0,0,0
2013,3,2.7625532590423436,1,0,0,1,0,1,0,1,0,0,0,0,0,0
2013,4,2.6775372281769036,1,0,0,0,1,1,0,1,0,0,0,0,0,0
2013,1,2.1598929950459254,0,1,0,0,0,1,0,1,0,0,0,0,0,0
2013,2,2.1984793443737423,0,0,1,0,0,1,0,1,0,0,0,0,0,0
2013,3,2.1671684364840704,0,0,0,1,0,1,0,1,0,0,0,0,0,0
